Asset,Date Purchased,Date Sold,Units,Sale Price,Basis,Gain / Loss,IRS ID Buy,IRS ID Sell
BTC,01/11/2018 02:54:07,01/12/2018 03:24:28,0.8498,11527.537,12268.56,-741.0229999999992,Gemi 35,Gemi 146
BTC,01/11/2018 02:54:07,01/12/2018 03:24:28,6.33e-05,0.8586644999999999,0.91,-0.05133550000000009,Gemi 36,Gemi 146
BTC,01/11/2018 19:46:31,01/12/2018 03:24:28,1.575,21364.875000000004,21301.88,62.99500000000262,Gemi 42,Gemi 146
BTC,01/11/2018 20:32:55,01/12/2018 03:24:28,6.279,85174.63500000002,83904.71,1269.9250000000175,Gemi 45,Gemi 146
BTC,01/12/2018 02:43:37,01/12/2018 03:24:28,0.45069999,6113.745364350001,6099.66,14.085364350001328,Gemi 46,Gemi 146
BTC,01/12/2018 02:43:57,01/12/2018 03:24:28,0.09023191,1223.9958591500001,1221.18,2.815859150000051,Gemi 47,Gemi 146
BTC,01/12/2018 02:43:57,01/12/2018 03:24:28,0.2,2713.0,2706.75,6.25,Gemi 48,Gemi 146
BTC,01/12/2018 02:44:01,01/12/2018 03:24:28,0.3,4069.500000000001,4060.13,9.3700000000008,Gemi 49,Gemi 146
BTC,01/12/2018 02:44:01,01/12/2018 03:24:28,1.9326,26215.719000000005,26155.33,60.38900000000285,Gemi 50,Gemi 146
BTC,01/12/2018 02:44:06,01/12/2018 03:24:28,1.63982095,22244.17118675,22192.93,51.24118675000136,Gemi 51,Gemi 146
BTC,01/12/2018 02:44:06,01/12/2018 03:24:28,0.3866,5244.229,5232.15,12.079000000000633,Gemi 52,Gemi 146
BTC,01/12/2018 02:44:06,01/12/2018 03:24:28,4.715e-05,0.63958975,0.64,-0.0004102500000000564,Gemi 53,Gemi 146
BTC,01/12/2018 02:45:37,01/12/2018 03:24:28,0.00055783,7.566963950000001,7.52,0.0469639500000012,Gemi 54,Gemi 146
BTC,01/12/2018 02:45:37,01/12/2018 03:24:28,0.19211,2605.9721499999996,2588.42,17.55214999999953,Gemi 55,Gemi 146
BTC,01/12/2018 02:45:37,01/12/2018 03:24:28,2.19338118,29753.21570669999,29552.76,200.45570669999142,Gemi 56,Gemi 146
BTC,01/12/2018 02:45:37,01/12/2018 03:24:28,0.0009298,12.612736999999997,12.53,0.08273699999999806,Gemi 57,Gemi 146
BTC,01/12/2018 02:45:37,01/12/2018 03:24:28,0.51,6918.15,6871.8,46.349999999999454,Gemi 58,Gemi 146
BTC,01/12/2018 02:45:50,01/12/2018 03:24:28,0.37198811,5046.018712149999,5012.76,33.258712149999155,Gemi 59,Gemi 146
BTC,01/12/2018 02:46:45,01/12/2018 03:24:28,0.1,1356.4999999999995,1347.56,8.9399999999996,Gemi 60,Gemi 146
BTC,01/12/2018 02:46:46,01/12/2018 03:24:28,0.7931889,10759.607428499996,10688.7,70.90742849999515,Gemi 61,Gemi 146
BTC,01/12/2018 02:46:48,01/12/2018 03:24:28,0.142887,1938.262154999999,1925.49,12.772154999998975,Gemi 62,Gemi 146
BTC,01/12/2018 02:46:49,01/12/2018 03:24:28,0.09587018,1300.4789916999994,1291.91,8.568991699999287,Gemi 63,Gemi 146
BTC,01/12/2018 02:46:52,01/12/2018 03:24:28,0.057113,774.7378449999997,769.63,5.1078449999996565,Gemi 64,Gemi 146
BTC,01/12/2018 02:46:53,01/12/2018 03:24:28,0.06646146,901.5497048999996,895.61,5.939704899999583,Gemi 65,Gemi 146
BTC,01/12/2018 02:46:53,01/12/2018 03:24:28,0.03913622,530.8828242999997,527.38,3.502824299999702,Gemi 66,Gemi 146
BTC,01/12/2018 02:46:53,01/12/2018 03:24:28,0.1,1356.4999999999995,1347.56,8.9399999999996,Gemi 67,Gemi 146
BTC,01/12/2018 02:46:53,01/12/2018 03:24:28,0.33637632,4562.944780799999,4532.87,30.074780799998734,Gemi 68,Gemi 146
BTC,01/12/2018 02:47:13,01/12/2018 03:24:28,1.88705476,25597.897819399994,25425.42,172.4778193999955,Gemi 69,Gemi 146
BTC,01/12/2018 02:47:26,01/12/2018 03:24:28,0.11294524,1532.1021805999994,1521.78,10.322180599999456,Gemi 70,Gemi 146
BTC,01/12/2018 02:47:45,01/12/2018 03:24:28,0.82358883,11171.982478949996,11093.4,78.58247894999658,Gemi 71,Gemi 146
BTC,01/12/2018 02:47:45,01/12/2018 03:24:28,2.22468666,30177.874542899986,29965.62,212.25454289998743,Gemi 72,Gemi 146
BTC,01/12/2018 02:47:45,01/12/2018 03:24:28,0.00040916,5.550255399999998,5.51,0.04025539999999861,Gemi 73,Gemi 146
BTC,01/12/2018 02:48:05,01/12/2018 03:24:28,0.00040914,5.549984099999997,5.51,0.03998409999999719,Gemi 74,Gemi 146
BTC,01/12/2018 02:48:05,01/12/2018 03:24:28,0.00070682,9.588013299999997,9.52,0.06801329999999695,Gemi 75,Gemi 146
BTC,01/12/2018 02:48:05,01/12/2018 03:24:28,0.00107878,14.633650699999995,14.53,0.10365069999999577,Gemi 76,Gemi 146
BTC,01/12/2018 02:48:05,01/12/2018 03:24:28,0.2751534,3732.4558709999988,3707.16,25.295870999998897,Gemi 77,Gemi 146
BTC,01/12/2018 02:48:05,01/12/2018 03:24:28,0.00093009,12.616670849999995,12.53,0.08667084999999553,Gemi 78,Gemi 146
BTC,01/12/2018 02:53:35,01/12/2018 03:24:28,0.5,6782.499999999997,6764.77,17.729999999996835,Gemi 79,Gemi 146
BTC,01/12/2018 02:53:35,01/12/2018 03:24:28,2.5,33912.499999999985,33823.87,88.62999999998283,Gemi 80,Gemi 146
BTC,01/12/2018 02:53:35,01/12/2018 03:24:28,1.80179,24441.281349999987,24377.41,63.871349999986705,Gemi 81,Gemi 146
BTC,01/12/2018 02:53:35,01/12/2018 03:24:28,2.14759202,29132.08575129998,29055.95,76.13575129997844,Gemi 82,Gemi 146
BTC,01/12/2018 02:54:07,01/12/2018 03:24:28,1.05061798,14251.63289869999,14214.59,37.042898699990474,Gemi 83,Gemi 146
BTC,01/12/2018 02:54:23,01/12/2018 03:24:28,0.00740221,100.41097864999993,100.0,0.41097864999993305,Gemi 84,Gemi 146
BTC,01/12/2018 02:54:23,01/12/2018 03:24:28,0.5,6782.499999999995,6754.73,27.76999999999589,Gemi 85,Gemi 146
BTC,01/12/2018 02:54:23,01/12/2018 03:24:28,2.49259779,33812.08902134998,33673.67,138.41902134998236,Gemi 86,Gemi 146
BTC,01/12/2018 02:56:52,01/12/2018 03:24:28,3.0,40694.99999999998,40526.06,168.9399999999805,Gemi 87,Gemi 146
BTC,01/12/2018 02:58:32,01/12/2018 03:24:28,1.81439697,24612.294898049986,24537.17,75.12489804998768,Gemi 88,Gemi 146
BTC,01/12/2018 03:00:05,01/12/2018 03:24:28,0.3,4069.4999999999977,4057.12,12.379999999997835,Gemi 89,Gemi 146
BTC,01/12/2018 03:00:07,01/12/2018 03:24:28,0.88560303,12013.205101949994,11976.65,36.55510194999442,Gemi 90,Gemi 146
BTC,01/12/2018 03:01:47,01/12/2018 03:24:28,0.4221747,5726.799805499997,5708.53,18.269805499997346,Gemi 91,Gemi 146
BTC,01/12/2018 03:02:12,01/12/2018 03:24:28,1.6401618,22248.794816999987,22177.81,70.98481699998592,Gemi 92,Gemi 146
BTC,01/12/2018 03:02:56,01/12/2018 03:24:28,0.64132441,8699.565621649994,8671.81,27.755621649994282,Gemi 93,Gemi 146
BTC,01/12/2018 03:02:56,01/12/2018 03:24:28,0.0001,1.3564999999999994,1.35,0.006499999999999284,Gemi 94,Gemi 146
BTC,01/12/2018 03:02:56,01/12/2018 03:24:28,1.70376091,23111.516744149987,23037.78,73.73674414998823,Gemi 95,Gemi 146
BTC,01/12/2018 03:02:56,01/12/2018 03:24:28,0.29623909,4018.483255849997,4005.66,12.823255849997167,Gemi 96,Gemi 146
BTC,01/12/2018 03:02:57,01/12/2018 03:24:28,0.0001,1.3564999999999992,1.35,0.006499999999999062,Gemi 97,Gemi 146
BTC,01/12/2018 03:03:55,01/12/2018 03:24:28,1.10705842,15017.247467299989,14969.33,47.91746729998886,Gemi 98,Gemi 146
BTC,01/12/2018 03:10:06,01/12/2018 03:24:28,2.2179169,30086.04274849998,29990.07,95.97274849997848,Gemi 99,Gemi 146
BTC,01/12/2018 03:11:19,01/12/2018 03:24:28,0.28124352,3815.0683487999977,3802.9,12.168348799997602,Gemi 100,Gemi 146
BTC,01/12/2018 03:11:19,01/12/2018 03:24:28,0.18908067,2564.879288549999,2556.7,8.179288549999,Gemi 101,Gemi 146
BTC,01/12/2018 03:11:19,01/12/2018 03:24:28,0.50083958,6793.888902699996,6772.22,21.66890269999567,Gemi 102,Gemi 146
BTC,01/12/2018 03:11:24,01/12/2018 03:24:28,1.99337569,27040.141234849987,26937.88,102.26123484998607,Gemi 103,Gemi 146
BTC,01/12/2018 03:11:24,01/12/2018 03:24:28,0.0001,1.3564999999999992,1.35,0.006499999999999062,Gemi 104,Gemi 146
BTC,01/12/2018 03:11:24,01/12/2018 03:24:28,0.0184,249.5959999999998,248.65,0.945999999999799,Gemi 105,Gemi 146
BTC,01/12/2018 03:11:24,01/12/2018 03:24:28,0.98812431,13403.90626514999,13353.22,50.686265149990504,Gemi 106,Gemi 146
BTC,01/12/2018 03:12:00,01/12/2018 03:24:28,0.82440745,11183.08705924999,11107.74,75.3470592499907,Gemi 107,Gemi 146
BTC,01/12/2018 03:12:21,01/12/2018 03:24:28,0.287,3893.1549999999957,3866.92,26.23499999999558,Gemi 108,Gemi 146
BTC,01/12/2018 03:12:24,01/12/2018 03:24:28,0.1498,2032.036999999998,2018.35,13.68699999999808,Gemi 109,Gemi 146
BTC,01/12/2018 03:12:28,01/12/2018 03:24:28,1.0918173,14810.501674499987,14710.71,99.7916744999875,Gemi 110,Gemi 146
BTC,01/12/2018 03:12:33,01/12/2018 03:24:28,0.2,2712.9999999999973,2694.72,18.27999999999747,Gemi 111,Gemi 146
BTC,01/12/2018 03:12:41,01/12/2018 03:24:28,0.1,1356.4999999999984,1347.36,9.139999999998508,Gemi 112,Gemi 146
BTC,01/12/2018 03:12:43,01/12/2018 03:24:28,0.0035,47.47749999999994,47.16,0.3174999999999457,Gemi 113,Gemi 146
BTC,01/12/2018 03:12:44,01/12/2018 03:24:28,0.0035,47.477499999999935,47.16,0.3174999999999386,Gemi 114,Gemi 146
BTC,01/12/2018 03:12:44,01/12/2018 03:24:28,0.0035,47.477499999999935,47.16,0.3174999999999386,Gemi 115,Gemi 146
BTC,01/12/2018 03:12:44,01/12/2018 03:24:28,0.0035,47.47749999999993,47.16,0.3174999999999315,Gemi 116,Gemi 146
BTC,01/12/2018 03:12:46,01/12/2018 03:24:28,0.0385,522.252499999999,518.73,3.522499999999013,Gemi 117,Gemi 146
BTC,01/12/2018 03:12:46,01/12/2018 03:24:28,0.0389584,528.4706959999991,524.91,3.5606959999990977,Gemi 118,Gemi 146
BTC,01/12/2018 03:12:46,01/12/2018 03:24:28,0.43111733000000146,5848.10658145001,5808.70176217728,39.40481927272958,Gemi 119,Gemi 146
BTC,01/12/2018 03:12:46,01/13/2018 02:20:59,1.6217655899999985,22975.107373714785,21851.018237822722,1124.0891358920635,Gemi 119,Gemi 222
BTC,01/12/2018 03:12:46,01/13/2018 02:20:59,0.1,1416.6725151515152,1347.36,69.3125151515153,Gemi 120,Gemi 222
BTC,01/12/2018 03:12:51,01/13/2018 02:20:59,0.24124283,3417.620867383694,3250.41,167.21086738369422,Gemi 121,Gemi 222
BTC,01/12/2018 03:12:53,01/13/2018 02:20:59,0.14998,2124.7254382242427,2020.77,103.9554382242427,Gemi 122,Gemi 222
BTC,01/12/2018 03:12:54,01/13/2018 02:20:59,0.0001,1.4166725151515154,1.35,0.06667251515151529,Gemi 123,Gemi 222
BTC,01/12/2018 03:12:55,01/13/2018 02:20:59,0.50599191,7168.2483178601915,6815.5,352.7483178601915,Gemi 124,Gemi 222
BTC,01/12/2018 03:12:55,01/13/2018 02:20:59,0.43303287,6134.657650861791,5834.51,300.1476508617907,Gemi 125,Gemi 222
BTC,01/12/2018 03:12:57,01/13/2018 02:20:59,0.14998,2124.7254382242427,2020.17,104.55543822424261,Gemi 126,Gemi 222
BTC,01/12/2018 03:12:58,01/13/2018 02:20:59,0.01057359,149.7931433948091,142.42,7.373143394809119,Gemi 127,Gemi 222
BTC,01/12/2018 03:12:59,01/13/2018 02:20:59,0.43776658,6201.718819378771,5896.54,305.17881937877064,Gemi 128,Gemi 222
BTC,01/12/2018 03:13:01,01/13/2018 02:20:59,0.2934,4156.517159454546,3951.98,204.53715945454633,Gemi 129,Gemi 222
BTC,01/12/2018 03:13:16,01/13/2018 02:20:59,0.2518,3567.1813931515157,3391.64,175.54139315151588,Gemi 130,Gemi 222
BTC,01/12/2018 03:13:16,01/13/2018 02:20:59,1.02390352,14505.359749508898,13791.56,713.7997495088985,Gemi 131,Gemi 222
BTC,01/12/2018 03:13:19,01/13/2018 02:20:59,0.077744,1101.377880179394,1047.18,54.197880179393906,Gemi 132,Gemi 222
BTC,01/12/2018 03:13:19,01/13/2018 02:20:59,0.0260529,369.08427369990915,350.92,18.16427369990913,Gemi 133,Gemi 222
BTC,01/12/2018 03:13:21,01/13/2018 02:20:59,0.02366428,335.245350668497,318.75,16.495350668496997,Gemi 134,Gemi 222
BTC,01/12/2018 03:13:22,01/13/2018 02:20:59,0.22196526,3144.5208316046,2989.78,154.74083160459986,Gemi 135,Gemi 222
BTC,01/12/2018 03:13:24,01/13/2018 02:20:59,0.00764818,108.34966396931517,103.02,5.3296639693151775,Gemi 136,Gemi 222
BTC,01/12/2018 03:13:31,01/13/2018 02:20:59,0.05835654,826.7210629734001,786.04,40.68106297340012,Gemi 137,Gemi 222
BTC,01/12/2018 03:13:31,01/13/2018 02:20:59,0.49323044,6987.460079840886,6643.61,343.8500798408859,Gemi 138,Gemi 222
BTC,01/12/2018 03:13:36,01/13/2018 02:20:59,0.09199338,1303.244930218891,1239.11,64.13493021889121,Gemi 139,Gemi 222
BTC,01/12/2018 03:13:40,01/13/2018 02:20:59,0.99540564,14101.638116148037,13407.71,693.9281161480376,Gemi 140,Gemi 222
BTC,01/12/2018 03:13:40,01/13/2018 02:20:59,0.1,1416.6725151515157,1346.96,69.71251515151562,Gemi 141,Gemi 222
BTC,01/12/2018 03:13:40,01/13/2018 02:20:59,0.04,566.6690060606063,538.78,27.889006060606334,Gemi 142,Gemi 222
BTC,01/12/2018 03:13:47,01/13/2018 02:20:59,0.14183913,2009.395970440028,1910.51,98.8859704400279,Gemi 143,Gemi 222
BTC,01/12/2018 03:23:25,01/13/2018 02:20:59,0.0008574,12.146550144909096,11.53,0.6165501449090964,Gemi 144,Gemi 222
BTC,01/12/2018 03:23:25,01/13/2018 02:20:59,0.72688641,10297.59998684156,9773.18,524.4199868415599,Gemi 145,Gemi 222
BTC,01/12/2018 03:26:42,01/13/2018 02:20:59,0.00100297,14.208800325215158,13.53,0.6788003252151587,Gemi 147,Gemi 222
BTC,01/12/2018 03:26:42,01/13/2018 02:20:59,0.00122584,17.366138359733338,16.54,0.8261383597333385,Gemi 148,Gemi 222
BTC,01/12/2018 03:26:42,01/13/2018 02:20:59,0.0007058,9.9988746119394,9.52,0.47887461193939984,Gemi 149,Gemi 222
BTC,01/12/2018 03:26:42,01/13/2018 02:20:59,0.00211748,29.997757173830315,28.57,1.4277571738303152,Gemi 150,Gemi 222
BTC,01/12/2018 03:26:42,01/13/2018 02:20:59,0.51,7225.02982727273,6880.64,344.38982727272924,Gemi 151,Gemi 222
BTC,01/12/2018 03:26:42,01/13/2018 02:20:59,0.00107736,15.26266300923637,14.53,0.7326630092363704,Gemi 152,Gemi 222
BTC,01/12/2018 03:26:42,01/13/2018 02:20:59,0.00055723,7.894124256178791,7.52,0.3741242561787912,Gemi 153,Gemi 222
BTC,01/12/2018 03:26:42,01/13/2018 02:20:59,0.0007802,11.052878963212127,10.52,0.5328789632121271,Gemi 154,Gemi 222
BTC,01/12/2018 03:26:42,01/13/2018 02:20:59,0.70894404,10043.415362484768,9554.94,488.4753624847672,Gemi 155,Gemi 222
BTC,01/12/2018 03:27:07,01/13/2018 02:20:59,0.0666,943.5038950909094,898.68,44.823895090909446,Gemi 156,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.06810998,964.8953667351944,923.99,40.905366735194434,Gemi 157,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00107156,15.180496003357582,14.53,0.6504960033575831,Gemi 158,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00099768,14.133858349163642,13.53,0.6038583491636427,Gemi 159,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.16,2266.6760242424252,2169.74,96.93602424242545,Gemi 160,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00107182,15.184179351896978,14.53,0.6541793518969783,Gemi 161,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.0004065,5.758773774090912,5.51,0.24877377409091217,Gemi 162,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00062827,8.900528410942428,8.52,0.3805284109424285,Gemi 163,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00129352,18.32494231798789,17.54,0.7849423179878912,Gemi 164,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00144147,20.420909304154563,19.55,0.8709093041545621,Gemi 165,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00129358,18.32579232149698,17.54,0.7857923214969809,Gemi 166,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00136742,19.371863306684862,18.54,0.8318633066848626,Gemi 167,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00077605,10.994087053833342,10.52,0.47408705383334215,Gemi 168,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.0009978,14.13555835618183,13.53,0.605558356181831,Gemi 169,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00040655,5.759482110348489,5.51,0.249482110348489,Gemi 170,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00055475,7.8589907778030375,7.52,0.3389907778030379,Gemi 171,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.00107299,15.200754420324255,14.53,0.6707544203242559,Gemi 172,Gemi 222
BTC,01/12/2018 03:30:54,01/13/2018 02:20:59,0.73775533,10451.576989175372,9993.37,458.20698917537084,Gemi 173,Gemi 222
BTC,01/13/2018 01:46:47,01/13/2018 02:20:59,1.85887194,26334.12786584379,26443.34,-109.21213415620878,Gemi 174,Gemi 222
BTC,01/13/2018 01:46:49,01/13/2018 02:20:59,0.1411,1998.9249188787899,2007.21,-8.285081121210169,Gemi 175,Gemi 222
BTC,01/13/2018 01:46:49,01/13/2018 02:20:59,2.99997194,42499.777936237755,42645.95,-146.17206376224203,Gemi 176,Gemi 222
BTC,01/13/2018 01:46:49,01/13/2018 02:20:59,2.806e-05,0.3975183077515156,0.4,-0.002481692248484435,Gemi 177,Gemi 222
BTC,01/13/2018 01:46:49,01/13/2018 02:20:59,2.806e-05,0.39751830775151564,0.4,-0.0024816922484843795,Gemi 178,Gemi 222
BTC,01/13/2018 01:46:49,01/13/2018 02:20:59,2.99997194,42499.777936237755,42615.88,-116.10206376224232,Gemi 179,Gemi 222
BTC,01/13/2018 01:46:58,01/13/2018 02:20:59,0.63043346,8931.177554138732,8949.26,-18.082445861267843,Gemi 180,Gemi 222
BTC,01/13/2018 01:46:58,01/13/2018 02:20:59,2.806e-05,0.39751830775151564,0.4,-0.0024816922484843795,Gemi 181,Gemi 222
BTC,01/13/2018 01:47:00,01/13/2018 02:20:59,0.002127,30.132624397272767,30.19,-0.057375602727233854,Gemi 182,Gemi 222
BTC,01/13/2018 01:47:01,01/13/2018 02:20:59,0.015,212.50087727272754,212.93,-0.42912272727247114,Gemi 183,Gemi 222
BTC,01/13/2018 01:47:02,01/13/2018 02:20:59,0.0425,602.0858189393948,603.3,-1.2141810606051422,Gemi 184,Gemi 222
BTC,01/13/2018 01:47:04,01/13/2018 02:20:59,0.031488,446.0818415709098,446.98,-0.8981584290902447,Gemi 185,Gemi 222
BTC,01/13/2018 01:47:10,01/13/2018 02:20:59,0.74705,10583.252024439407,10604.67,-21.417975560592822,Gemi 186,Gemi 222
BTC,01/13/2018 01:47:10,01/13/2018 02:20:59,1.53140154,21694.944713787067,21738.86,-43.91528621293401,Gemi 187,Gemi 222
BTC,01/13/2018 01:51:44,01/13/2018 02:20:59,2.1,29750.12281818186,29867.18,-117.05718181814154,Gemi 188,Gemi 222
BTC,01/13/2018 01:51:44,01/13/2018 02:20:59,0.1,1416.6725151515168,1422.25,-5.577484848483209,Gemi 189,Gemi 222
